Data;Título;Link;Termo da pesquisa ;Autor;Fontes;Assuntos tratados;;
04.03.2016;Lancien président Lula tente de sauver sa réputation et le Brésil;http://www.lemonde.fr/ameriques/article/2016/03/04/lula-tente-de-sauver-sa-peau-et-le-bresil_4876388_3222.html#YFGLz62sZWWT0wlw.99;Lava Jato;Correspondente Claire Gatinois;Stéphane Monclaire (professora de ciências políticas da Sorbonne);Lula;envolvimento de Lula na Lava Jato ;
04.03.2016;Lancien président Lula tente de sauver sa réputation et le Brésil;http://www.lemonde.fr/ameriques/article/2016/03/04/lula-tente-de-sauver-sa-peau-et-le-bresil_4876388_3222.html#YFGLz62sZWWT0wlw.99;Lava Jato;Correspondente Claire Gatinois;;Lula;envolvimento de Lula na Lava Jato ;
05.03.2016;"Au Brésil, lancien président Lula rattrapé par le scandale Petrobras
";http://www.lemonde.fr/ameriques/article/2016/03/05/bresil-les-partisans-de-l-ex-president-lula-denoncent-un-coup-d-etat_4877046_3222.html#h4EiTpG1gg3CmQmk.99;Lava Jato;Correspondente Claire Gatinois;Procurador Carlos Fernando dos Santos Lima;Lula;;
05.03.2016;"Au Brésil, lancien président Lula rattrapé par le scandale Petrobras
";http://www.lemonde.fr/ameriques/article/2016/03/05/bresil-les-partisans-de-l-ex-president-lula-denoncent-un-coup-d-etat_4877046_3222.html#h4EiTpG1gg3CmQmk.99;Lava Jato;Correspondente Claire Gatinois;Lula;Lula;;
05.03.2016;"Au Brésil, lancien président Lula rattrapé par le scandale Petrobras
";http://www.lemonde.fr/ameriques/article/2016/03/05/bresil-les-partisans-de-l-ex-president-lula-denoncent-un-coup-d-etat_4877046_3222.html#h4EiTpG1gg3CmQmk.99;Lava Jato;Correspondente Claire Gatinois;politólogo Carlos Melo (Insper);Lula;;
05.03.2016;"Au Brésil, lancien président Lula rattrapé par le scandale Petrobras
";http://www.lemonde.fr/ameriques/article/2016/03/05/bresil-les-partisans-de-l-ex-president-lula-denoncent-un-coup-d-etat_4877046_3222.html#h4EiTpG1gg3CmQmk.99;Lava Jato;Correspondente Claire Gatinois;Stéphane Monclaire (professor de política da Sorbonne);Lula;;
06.03.2016;Brésil : rattrapé par le scandale Petrobras, lancien président Lula appelle ses partisans à le soutenir; http://www.lemonde.fr/ameriques/article/2016/03/06/bresil-rattrape-par-le-scandale-petrobras-l-ancien-president-lula-appelle-ses-partisans-a-le-soutenir_4877463_3222.html#uXdFtFz7qxba4aep.99;Lava Jato;AFP e Reuters;Lula;Lula;;
06.03.2016;Brésil : rattrapé par le scandale Petrobras, lancien président Lula appelle ses partisans à le soutenir; http://www.lemonde.fr/ameriques/article/2016/03/06/bresil-rattrape-par-le-scandale-petrobras-l-ancien-president-lula-appelle-ses-partisans-a-le-soutenir_4877463_3222.html#uXdFtFz7qxba4aep.99;Lava Jato;AFP e Reuters;Marco Aurelio Mello;Lula;;
06.03.2016;Brésil : rattrapé par le scandale Petrobras, lancien président Lula appelle ses partisans à le soutenir; http://www.lemonde.fr/ameriques/article/2016/03/06/bresil-rattrape-par-le-scandale-petrobras-l-ancien-president-lula-appelle-ses-partisans-a-le-soutenir_4877463_3222.html#uXdFtFz7qxba4aep.99;Lava Jato;AFP e Reuters;membro da Corte Suprema;Lula;;
06.03.2016;Brésil : rattrapé par le scandale Petrobras, lancien président Lula appelle ses partisans à le soutenir; http://www.lemonde.fr/ameriques/article/2016/03/06/bresil-rattrape-par-le-scandale-petrobras-l-ancien-president-lula-appelle-ses-partisans-a-le-soutenir_4877463_3222.html#uXdFtFz7qxba4aep.99;Lava Jato;AFP e Reuters;rádio CBN;Lula;;
06.03.2016;Brésil : rattrapé par le scandale Petrobras, lancien président Lula appelle ses partisans à le soutenir; http://www.lemonde.fr/ameriques/article/2016/03/06/bresil-rattrape-par-le-scandale-petrobras-l-ancien-president-lula-appelle-ses-partisans-a-le-soutenir_4877463_3222.html#uXdFtFz7qxba4aep.99;Lava Jato;AFP e Reuters;Gilmar Mendes;Lula;;
06.03.2016;Brésil : rattrapé par le scandale Petrobras, lancien président Lula appelle ses partisans à le soutenir; http://www.lemonde.fr/ameriques/article/2016/03/06/bresil-rattrape-par-le-scandale-petrobras-l-ancien-president-lula-appelle-ses-partisans-a-le-soutenir_4877463_3222.html#uXdFtFz7qxba4aep.99;Lava Jato;AFP e Reuters;;Lula;;
09.03.2016;"Un grand patron du BTP brésilien condamné
";http://www.lemonde.fr/ameriques/article/2016/03/09/un-grand-patron-du-btp-bresilien-condamne_4879208_3222.html#HV6YqZiMGwmlKpK4.99;Lava Jato;Correspondente Claire Gatinois;Sergio Lazzarini (professor de economia e autor do livro Capitalismo de laços);Marcelo Odebrecht;edição paga;
11.03.2016 ;"
Au Brésil, lancien président Lula tente déviter la prison";http://www.lemonde.fr/international/article/2016/03/11/au-bresil-l-ancien-president-lula-tente-d-eviter-la-prison_4881374_3210.html#usLgXuV83lTbvhQ5.99;Lava Jato;Correspondente Claire Gatinois;O Globo;Lula;;
11.03.2016 ;"
Au Brésil, lancien président Lula tente déviter la prison";http://www.lemonde.fr/international/article/2016/03/11/au-bresil-l-ancien-president-lula-tente-d-eviter-la-prison_4881374_3210.html#usLgXuV83lTbvhQ5.99;Lava Jato;Correspondente Claire Gatinois;Cassio Cunha Lima (chefe do PSDB no senado);Lula;;
11.03.2016 ;"
Au Brésil, lancien président Lula tente déviter la prison";http://www.lemonde.fr/international/article/2016/03/11/au-bresil-l-ancien-president-lula-tente-d-eviter-la-prison_4881374_3210.html#usLgXuV83lTbvhQ5.99;Lava Jato;Correspondente Claire Gatinois;Floriano Peixoto de Azevedo (professor de Direito da USP);Lula;;
11.03.2016 ;"
Au Brésil, lancien président Lula tente déviter la prison";http://www.lemonde.fr/international/article/2016/03/11/au-bresil-l-ancien-president-lula-tente-d-eviter-la-prison_4881374_3210.html#usLgXuV83lTbvhQ5.99;Lava Jato;Correspondente Claire Gatinois;Fernando Gabeira;Lula;;
