Data;Título;Link;Termo da pesquisa ;Autor;Fontes;Assuntos tratados;Conteúdo;
05.09.16;Michel Temer, le restaurateur;http://liberation.fr/planete/2016/09/04/michel-temer-le-restaurateur_1482842;Lava Jato;Chantal Rayes;Discurso de posse de Michel Temer;Posse de Michel Temer;"A jornalista diz que é a volta da direita reacionária ao país após 13 anos. O áudio de Jucá, no qual ele diz que é preciso mudar de governo para ""estancar a sangria"" é citado. A jornalista também cita que entre 13 senadores investigados pela Lava Jato, 10 votaram a favor do impeachment de Dilma Rousseff.";
05.09.16;Michel Temer, le restaurateur;http://liberation.fr/planete/2016/09/04/michel-temer-le-restaurateur_1482842;Lava Jato;Chantal Rayes;"Revista  Veja (quando cita Marcela como ""bela";Posse de Michel Temer;"A jornalista diz que é a volta da direita reacionária ao país após 13 anos. O áudio de Jucá, no qual ele diz que é preciso mudar de governo para ""estancar a sangria"" é citado. A jornalista também cita que entre 13 senadores investigados pela Lava Jato, 10 votaram a favor do impeachment de Dilma Rousseff.";
05.09.16;Michel Temer, le restaurateur;http://liberation.fr/planete/2016/09/04/michel-temer-le-restaurateur_1482842;Lava Jato;Chantal Rayes;"recatada e do lar"")";Posse de Michel Temer;"A jornalista diz que é a volta da direita reacionária ao país após 13 anos. O áudio de Jucá, no qual ele diz que é preciso mudar de governo para ""estancar a sangria"" é citado. A jornalista também cita que entre 13 senadores investigados pela Lava Jato, 10 votaram a favor do impeachment de Dilma Rousseff.";
05.09.16;Michel Temer, le restaurateur;http://liberation.fr/planete/2016/09/04/michel-temer-le-restaurateur_1482842;Lava Jato;Chantal Rayes;Frédéric Louault (professor de ciências políticas da Universidade Livre de Bruxelas);Posse de Michel Temer;"A jornalista diz que é a volta da direita reacionária ao país após 13 anos. O áudio de Jucá, no qual ele diz que é preciso mudar de governo para ""estancar a sangria"" é citado. A jornalista também cita que entre 13 senadores investigados pela Lava Jato, 10 votaram a favor do impeachment de Dilma Rousseff.";
05.09.16;Michel Temer, le restaurateur;http://liberation.fr/planete/2016/09/04/michel-temer-le-restaurateur_1482842;Lava Jato;Chantal Rayes;;Posse de Michel Temer;"A jornalista diz que é a volta da direita reacionária ao país após 13 anos. O áudio de Jucá, no qual ele diz que é preciso mudar de governo para ""estancar a sangria"" é citado. A jornalista também cita que entre 13 senadores investigados pela Lava Jato, 10 votaram a favor do impeachment de Dilma Rousseff.";
16.12.16;Au Brésil, le gouvernement de Michel Temer vacille;http://liberation.fr/planete/2016/12/15/au-bresil-le-gouvernement-de-michel-temer-vacille_1535625;Lava Jato;Chantal Rayes;Cláudio Gonçalves Couto (professor de ciências políticas da FGV);Michel Temer;A Lava Jato é citada como uma operação que faz desgastes no país;
16.12.16;Au Brésil, le gouvernement de Michel Temer vacille;http://liberation.fr/planete/2016/12/15/au-bresil-le-gouvernement-de-michel-temer-vacille_1535625;Lava Jato;Chantal Rayes;;Michel Temer;A Lava Jato é citada como uma operação que faz desgastes no país;
21.02.17;Au Brésil, un ministre accusé de corruption devient juge... anti-corruption ;http://liberation.fr/planete/2017/02/21/au-bresil-un-ministre-accuse-de-corruption-devient-juge-anti-corruption_1550029;Lava Jato;Chantal Rayes;não tem fontes;Nomeação de Alexandre de Moraes como juíz da Corte Suprema;O texto fala que Michel Temer nomeou Alexandre (um  ministro corrupto que se torna um juiz anticorrupção) com o objetivo de frear a Operação Lava Jato. ;
11.02.17;Au Brésil, une grève de policiers déclenche une flambée de meurtres;http://liberation.fr/planete/2017/02/10/au-bresil-une-greve-de-policiers-declenche-une-flambee-de-meurtres_1547803;Lava Jato;François Xavier Gomes;Gaspard Estrada (diretor executivo do Observatório de política da América Latina e do Caribe);Análise sobre a situação do Rio de Janeiro;"A Lava Jato é citada como responsável por paralisar alguns projetos que estavam voltados para o Rio de Janeiro e Espírito Santo. ""Et le scandale «Lava Jato», lenquête sur les pots-de-vin versés par Petrobras, la compagnie nationale, na rien arrangé en mettant entre parenthèses projets et investissements. Et dans le cas de Rio, lardoise laissée par les Jeux olympiques de 2016 pèse lourdement.""";
03.02.17;Une rentrée politique de tous les dangers au Brésil;http://liberation.fr/planete/2017/02/03/une-rentree-politique-de-tous-les-dangers-au-bresil_1546019;Lava Jato; AFP;Renan Calheiros;governo de Temer;O texto fala que a crise política de 2016, que resultou no impeachment de Dilma, foi agravada pela Operação Lava Jato. ;
03.02.17;Une rentrée politique de tous les dangers au Brésil;http://liberation.fr/planete/2017/02/03/une-rentree-politique-de-tous-les-dangers-au-bresil_1546019;Lava Jato; AFP;Sylvio Costa (Congresso em Foco);governo de Temer;O texto fala que a crise política de 2016, que resultou no impeachment de Dilma, foi agravada pela Operação Lava Jato. ;
15.03.17;Scandale Petrobras : la liste qui fait trembler la classe politique brésilienne;http://liberation.fr/planete/2017/03/15/scandale-petrobras-la-liste-qui-fait-trembler-la-classe-politique-bresilienne_1556018;Lava Jato;Chantal Rayes;Folha de S. Paulo (entrevista com o Sociólogo Celso Rocha de Barros);Delação da Odebrecht (delação)/ Lista de Janot;O texto cita a lista apresentada pelos ex-dirigentes da Odebrecht com os políticos que se beneficiaram de dinheiro da Odebrecht em suas campanhas eleitorais. Aqui, o texto mostra que não apenas políticos de partidos de esquerda foram atingidos, mas também nomes como Michel Temer, Aécio Neves, José Serra e Rodrigo Maia ;
15.03.17;Scandale Petrobras : la liste qui fait trembler la classe politique brésilienne;http://liberation.fr/planete/2017/03/15/scandale-petrobras-la-liste-qui-fait-trembler-la-classe-politique-bresilienne_1556018;Lava Jato;Chantal Rayes;Silvio Costa (deputado);Delação da Odebrecht (delação)/ Lista de Janot;O texto cita a lista apresentada pelos ex-dirigentes da Odebrecht com os políticos que se beneficiaram de dinheiro da Odebrecht em suas campanhas eleitorais. Aqui, o texto mostra que não apenas políticos de partidos de esquerda foram atingidos, mas também nomes como Michel Temer, Aécio Neves, José Serra e Rodrigo Maia ;
15.03.17;Scandale Petrobras : la liste qui fait trembler la classe politique brésilienne;http://liberation.fr/planete/2017/03/15/scandale-petrobras-la-liste-qui-fait-trembler-la-classe-politique-bresilienne_1556018;Lava Jato;Chantal Rayes;Esther Solano (socióloga);Delação da Odebrecht (delação)/ Lista de Janot;O texto cita a lista apresentada pelos ex-dirigentes da Odebrecht com os políticos que se beneficiaram de dinheiro da Odebrecht em suas campanhas eleitorais. Aqui, o texto mostra que não apenas políticos de partidos de esquerda foram atingidos, mas também nomes como Michel Temer, Aécio Neves, José Serra e Rodrigo Maia ;
